Community	Month	Input	Period	Point	Agarista_oleifolia	Alchornea_triplinervia	Bonnetia_stricta	Clusia_nemorosa	Doliocarpus_elegans	Eugenia_angustissima	Ilex_sp1	Laplacea_fruticosa	Mikania_burchellii	Myrsine_guianensis	Pagamea_guianensis	Persea_aurata	Richeria_grandis	Roucheria_columbiana	Tibouchina_barnebyana	Vochysia_acuminata
com1_jan_lat	January	lateral	Rain	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com2_jan_lat	January	lateral	Rain	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com3_jan_lat	January	lateral	Rain	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com1_april_lat	April	lateral	Rain-Dry	1	0	2.8	0	0	0	0	0	23.72	0	0	0	0	4.68	0	0	0
com2_april_lat	April	lateral	Rain-Dry	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com3_april_lat	April	lateral	Rain-Dry	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
com1_july_lat	July	lateral	Dry	1	0	2.68	5.84	0	0	0	1.12	16.72	0	3.52	0	0	40.12	0	20.96	3.88
com2_july_lat	July	lateral	Dry	2	0	5.48	10.82222222	3.866666667	0	0	0	32.67555556	0	5.32	0	0.64	2.622222222	0	0.524444444	35.76
com3_july_lat	July	lateral	Dry	3	0	1.92	2.902222222	0	10.27111111	1.04	0	9.342222222	0	0	0	0	18.20888889	2.76	2.088888889	11.56
com1_oct_lat	October	lateral	Dry-Rain	1	0	21.76	12.56	0	0	0	0	106.6	0	0	0	0	254.6	0	8.52	2.04
com2_oct_lat	October 	lateral	Dry-Rain	2	0	11.88	2.2	0	0	0	0.24	82.16	0	5.72	3.92	6.44	55.04	0	7.44	72.84
com3_oct_lat	October	lateral	Dry-Rain	3	0	20.52	17.64	16.16	46.2	0	0	55.4	0	0	0	2.6	43.76	0	22.76	42.04
com1_jan_ter	January	terrestrial	Rain	1	0	1.26	0.33	0	0	0	0	5.43	0	0	0	0	0	21.04	0	0
com2_jan_ter	January	terrestrial	Rain	2	0	0.14	0.46	0	0	0	0	11.3	1.3	0.06	0	0.49	0.62	0	3.4	11.1
com3_jan_ter	January	terrestrial	Rain	3	2.44	4.7	16.67	4.44	6.98	0	0	3.2	0	0	0	0	10.9	0	3.96	7.7
com1_april_ter	April	terrestrial	Rain-Dry	1	0	0	1	66.44	0	0	0	11.14	0	0	0	0.32	0	0	9.53	0.6
com2_april_ter	April	terrestrial	Rain-Dry	2	0	3.13	0	0	0	0	0	6.91	5.32	0	0	0.53	0	4.55	2.26	3.36
com3_april_ter	April	terrestrial	Rain-Dry	3	3.51	7.69	14.39	7.15	1.48	0.57	0	6.39	0	0	0	0	13.26	1.27	3.1	5.38
com1_july_ter	July	terrestrial	Dry	1	0	0.05	6.04	0	0	0.25	0	7.3	0.11	0	0	0	37	0	10.44	0.28
