Month	Community	Agarista oleifolia (Cham.)DC.	Alchornea triplinervia (Spreng.)Müll. Arg.	Bonnetia stricta (Nees) Nees & Mart.	Clusia nemorosa G. Mey.	Doliocarpus elegans Eichler	Eugenia angustissima O.Berg.	Laplacea fruticosa (Scharad.)Kobuski	Mikania burchellii Baker	Myrsine guianensis (Aubl.) Kuntze	Pagamea guianensis Aubl.	Persea aurata Miq.	Richeria grandis Vahl.	Roucheria columbiana Hallier f.	Tibouchina barnebyana Wurdak	Vochysia acuminata Bong.		
January	com1.jan	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
January	com2.jan	0.00	1.26	0.33	0.00	0.00	0.00	5.43	0.00	0.00	0.00	0.00	0.00	21.04	0.00	0.00		
January	com3.jan	0.00	0.04	0.00	0.00	0.00	0.00	0.08	0.52	0.00	0.00	0.00	0.00	0.00	3.25	11.10		
January	com4.jan	0.00	0.10	0.46	0.00	0.00	0.00	11.22	0.78	0.06	0.00	0.49	0.62	0.00	0.15	0.00		
January	com5.jan	0.00	0.00	16.34	4.44	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	3.29	7.70		
January	com6.jan	2.44	4.70	0.33	0.00	6.98	0.00	2.90	0.00	0.00	0.00	0.00	10.90	0.00	0.67	0.00		
April	com1.ap	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
April	com2.ap	0.00	0.00	1.00	66.44	0.00	0.00	11.14	0.00	0.00	0.00	0.32	0.00	0.00	9.53	0.60		
April	com3.ap	0.00	3.13	0.00	0.00	0.00	0.00	6.91	5.32	0.00	0.00	0.53	0.00	4.55	2.26	3.36		
April	com4.ap	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
April	com5.ap	3.51	5.82	1.39	0.00	1.48	0.57	4.62	0.00	0.00	0.00	0.00	13.26	0.00	0.83	0.00		
April	com6.ap	0.00	1.87	13.00	7.15	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	1.27	2.27	5.38		
July	com1.jul	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		
July	com2.jul	0.00	0.05	6.04	0.00	0.00	0.25	7.30	0.11	0.00	0.00	0.00	37.00	0.00	10.44	0.28		
July	com3.jul	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	1.66	0.00		
July	com4.jul	0.00	0.38	3.38	0.00	0.00	0.00	3.99	0.00	0.00	0.00	0.00	0.00	0.00	13.09	11.33		
July	com5.jul	0.00	0.00	0.47	0.00	2.99	0.00	13.43	0.00	0.00	0.00	0.00	7.20	0.00	2.65	11.53		
July	com6.jul	0.00	2.79	0.00	0.00	4.39	0.00	5.37	0.00	0.00	0.00	0.10	4.69	0.00	1.20	0.50		
October	com1.oct	0.00	35.68	0.97	0.00	0.00	0.00	11.70	0.00	0.00	0.00	0.00	126.93	0.00	10.89	0.00		
October	com2.oct	0.00	12.08	10.73	0.00	0.00	0.00	36.75	0.00	0.00	0.00	0.00	0.00	36.29	0.00	12.68		
October	com3.oct	0.00	0.15	5.34	0.00	0.00	0.00	6.39	0.00	0.00	0.14	0.00	26.43	0.00	9.33	18.31		
October	com4.oct	0.00	0.65	1.26	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	0.00	0.00	4.78	21.72		
October	com5.oct	0.00	1.64	10.31	1.46	0.00	0.00	10.06	0.00	0.00	0.00	0.00	14.52	0.00	2.14	8.32		
October	com6.oct	8.36	20.15	0.42	0.00	15.84	0.82	2.41	0.00	0.00	0.00	0.16	23.06	0.00	0.89	0.65		
																		
																		
