Month	Community	Agarista oleifolia (Cham.)DC.	Alchornea triplinervia (Spreng.)Müll. Arg.	Bonnetia stricta (Nees) Nees & Mart.	Doliocarpus elegans Eichler	Eugenia angustissima O.Berg.	Ilex sp1	Laplacea fruticosa (Scharad.)Kobuski	Mikania burchellii Baker	Myrsine guianensis (Aubl.) Kuntze	Pagamea guianensis Aubl.	Persea aurata Miq.	Richeria grandis Vahl.	Roucheria columbiana Hallier f.	Tibouchina barnebyana Wurdak	Vochysia acuminata Bong.
January	com1.jan	6.93	0.00	0.00	0.00	0.00	0.00	0.00	1.22	58.47	4.69	0.00	0.00	0.00	13.85	0.00
January	com2.jan	0.00	0.00	0.00	0.00	0.00	0.00	3.67	0.00	6.11	0.00	0.00	0.00	0.00	15.08	0.00
January	com3.jan	0.00	7.95	56.63	0.00	0.00	0.00	18.54	0.00	0.00	0.00	0.00	0.00	0.00	32.39	82.10
January	com4.jan	0.00	0.00	14.46	0.00	12.43	3.06	16.09	0.00	5.50	0.00	0.00	0.00	0.00	39.11	5.09
January	com5.jan	0.00	2.24	69.88	10.59	0.00	0.00	5.70	0.00	0.00	0.00	0.00	49.91	0.00	103.90	0.00
January	com6.jan	0.00	0.00	128.55	18.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	87.60	0.00
April	com1.ap	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.19	0.00	0.00	0.00	0.00	137.71	0.00
April	com2.ap	0.00	0.00	0.81	0.00	1.02	0.00	2.65	0.00	0.00	0.00	0.00	0.00	0.00	12.22	0.00
April	com3.ap	0.00	9.98	18.33	0.81	0.00	0.00	7.95	0.00	0.00	0.00	0.00	0.00	0.00	36.06	35.04
April	com4.ap	0.00	6.93	0.00	0.00	0.00	0.00	24.85	0.00	8.76	0.00	0.00	0.00	0.00	65.60	61.52
April	com5.ap	9.17	0.81	59.69	0.00	0.00	0.00	2.44	0.00	4.89	0.00	0.00	5.70	0.00	86.17	0.00
April	com6.ap	0.00	2.65	125.08	0.00	1.22	0.00	0.00	0.00	10.80	0.00	0.00	0.00	3.67	83.52	0.00
July	com1.jul	0.00	0.61	28.93	0.00	0.00	0.00	1.22	0.00	61.52	0.00	0.00	0.00	0.00	52.97	5.70
July	com2.jul	0.00	0.00	0.00	0.00	0.00	0.00	3.67	0.00	26.28	0.00	0.00	0.00	0.00	40.54	0.00
July	com3.jul	6.93	5.70	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	102.27	122.64
July	com4.jul	0.00	3.26	9.78	0.00	0.00	0.00	32.80	0.00	1.63	0.00	0.00	0.00	0.00	75.38	107.16
July	com5.jul	8.76	0.00	49.91	49.71	0.00	0.00	0.00	0.00	34.84	0.00	0.00	0.00	0.00	126.31	0.00
July	com6.jul	9.78	0.00	75.58	23.43	0.00	0.00	1.43	0.00	11.41	0.00	0.00	17.11	0.00	156.46	19.56
October	com1.oct	6.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	92.49	0.00	0.00	37.89	0.00	24.45	0.00
October	com2.oct	0.00	0.00	3.46	0.00	0.00	0.00	9.78	0.00	103.49	0.00	0.00	23.22	0.00	38.50	0.00
October	com3.oct	0.00	12.22	15.08	0.00	0.00	0.00	19.96	0.00	0.00	0.00	0.00	14.46	0.00	74.97	132.42
October	com4.oct	0.00	13.65	9.57	0.00	0.00	0.00	42.37	0.00	0.00	0.00	0.00	0.00	0.00	55.82	91.06
October	com5.oct	31.37	0.00	56.02	0.00	0.00	0.00	2.65	0.00	0.00	0.00	5.30	31.58	0.00	131.81	0.00
October	com6.oct	27.09	0.00	94.93	0.00	0.00	0.00	2.24	0.00	0.00	0.00	0.00	8.96	0.00	160.12	0.00
